geometry,composition,function,structure
POINT (20.10137499999764 -34.625374999995934),0.1502043604850769,843,0
POINT (20.05737499999764 -34.71962499999592),0.19838638603687286,1602,5
POINT (19.92287499999766 -34.15487499999599),0.1478232443332672,838,10
POINT (19.772624999997678 -34.435124999995956),0.5386456251144409,1167,0
POINT (20.48812499999759 -34.238374999995976),0.18191854655742645,655,10
POINT (20.00137499999765 -34.603374999995935),0.4406430721282959,1799,8
POINT (19.991124999997652 -34.66312499999593),0.5439185500144958,1315,0
POINT (20.541624999997588 -34.25387499999597),0.21676082909107208,790,0
POINT (20.451874999997596 -34.461374999995954),0.9915000200271606,1887,10
POINT (20.454124999997596 -34.45912499999595),0.9915000200271606,1802,9
POINT (20.19087499999763 -34.66612499999593),0.500611424446106,1214,4
POINT (20.05737499999764 -34.53187499999594),0.1595059633255005,1062,10
POINT (20.196874999997625 -34.68712499999592),0.5978163480758667,1559,8
POINT (20.02537499999765 -34.38437499999596),0.1278662234544754,755,0
POINT (20.197874999997627 -34.16212499999599),0.15164081752300262,893,0
POINT (19.870124999997664 -34.66587499999593),0.5406339764595032,673,2
POINT (20.067874999997642 -34.61912499999593),0.4406430721282959,1591,7
POINT (19.90662499999766 -34.15912499999599),0.1409662663936615,826,0
POINT (20.33087499999761 -34.52237499999595),0.8621854186058044,1063,11
POINT (20.021374999997647 -34.30037499999597),0.12418266385793686,970,0
POINT (19.940624999997656 -34.70712499999592),0.210372194647789,1304,4
POINT (20.116874999997638 -34.588624999995936),0.19473767280578613,1356,0
POINT (20.011874999997648 -34.613624999995935),0.4406430721282959,1566,0
POINT (20.203624999997626 -34.21037499999598),0.15393207967281342,928,3
POINT (20.127624999997636 -34.502874999995946),0.44548094272613525,1600,8
POINT (19.83012499999767 -34.60587499999593),0.5057677626609802,1474,8
POINT (19.929874999997658 -34.14862499999599),0.5324141383171082,1246,6
POINT (20.517874999997588 -34.436624999995956),0.9915000200271606,1994,8
POINT (20.33812499999761 -34.56562499999594),0.8621854186058044,1743,9
POINT (20.580874999997583 -34.36362499999596),0.5402308106422424,1142,1
POINT (20.08987499999764 -34.20862499999598),0.1505919247865677,986,0
POINT (19.99237499999765 -34.66162499999593),0.5439185500144958,1447,0
POINT (19.876874999997664 -34.52762499999594),0.5430565476417542,1503,15
POINT (20.621624999997575 -34.272374999995975),0.16975055634975433,1156,0
POINT (20.50962499999759 -34.39137499999596),0.9915000200271606,1578,5
POINT (19.794874999997674 -34.622374999995934),0.2272409051656723,1007,0
POINT (20.052124999997645 -34.52612499999594),0.1496993750333786,512,9
POINT (19.99537499999765 -34.54237499999594),0.5420324802398682,1733,7
POINT (19.891374999997662 -34.30187499999597),0.1271703839302063,1036,0
POINT (20.129374999997633 -34.235374999995976),0.13250698149204254,1124,0
POINT (19.883874999997662 -34.654624999995924),0.18781019747257233,1524,0
POINT (20.08662499999764 -34.239874999995976),0.1448322832584381,932,10
POINT (20.362124999997608 -34.27562499999597),0.15733158588409424,783,0
POINT (20.295124999997615 -34.182124999995985),0.12873002886772156,700,10
POINT (20.33237499999761 -34.43862499999595),0.5607733726501465,1466,5
POINT (20.190374999997626 -34.28312499999597),0.12479078024625778,889,0
POINT (18.609874999997814 -33.83162499999602),0.47768229246139526,1573,8
POINT (18.644374999997808 -33.44512499999607),0.1437482386827469,1029,1
POINT (18.371124999997843 -34.12762499999599),0.175874263048172,2120,8
POINT (18.773624999997793 -33.579374999996055),0.4480975270271301,1169,12
POINT (18.7316249999978 -33.381374999996076),0.17176559567451477,692,0
POINT (18.193874999997863 -33.28487499999609),0.9915000200271606,1294,1
POINT (18.747874999997798 -33.34637499999608),0.1215912327170372,1134,9
POINT (18.38087499999784 -34.011374999996),0.7964835166931152,2514,23
POINT (18.52812499999782 -34.004124999996),0.17804306745529175,301,9
POINT (18.501374999997825 -34.076874999995994),0.9915000200271606,1437,8
POINT (18.46887499999783 -34.09887499999599),0.09633063524961472,1952,8
POINT (18.507374999997825 -33.66687499999605),0.17461208999156952,1604,14
POINT (18.792124999997792 -33.93012499999601),0.45351526141166687,1236,17
POINT (18.744124999997798 -33.427124999996074),0.12859782576560974,1362,6
POINT (18.46237499999783 -33.76337499999603),0.9915000200271606,1574,4
POINT (18.331624999997846 -33.33637499999608),0.16397450864315033,1343,0
POINT (18.54912499999782 -33.49262499999607),0.45392823219299316,1241,7
POINT (18.751624999997798 -34.060374999996),0.09732108563184738,444,10
POINT (18.540874999997822 -33.37887499999608),0.1339125782251358,808,0
POINT (18.501374999997825 -34.023624999996),0.09579753875732422,1319,18
POINT (18.80562499999779 -33.55462499999606),0.4480975270271301,1174,0
POINT (18.764624999997796 -33.79462499999603),0.432458758354187,914,3
POINT (18.763374999997794 -33.920374999996014),0.19355875253677368,1593,8
POINT (18.759624999997797 -33.60387499999605),0.4948694407939911,1039,2
POINT (18.514874999997826 -33.44012499999607),0.15844887495040894,1902,18
POINT (18.457374999997832 -33.75912499999603),0.8083610534667969,1140,7
POINT (18.706624999997803 -33.84487499999602),0.09943191707134247,1323,8
POINT (18.842374999997787 -33.33637499999608),0.1914898157119751,873,9
POINT (18.456624999997832 -33.93487499999601),0.1011509895324707,317,6
POINT (18.314624999997847 -33.32887499999608),0.14472652971744537,874,1
POINT (18.64237499999781 -33.52212499999606),0.19355875253677368,1154,4
POINT (18.79762499999779 -33.76762499999603),0.432458758354187,426,8
POINT (18.491374999997827 -33.87837499999602),0.14049720764160156,1565,11
POINT (18.64812499999781 -34.045374999996),0.7980567216873169,692,6
POINT (18.53187499999782 -33.418124999996074),0.4194074869155884,1381,7
POINT (18.430624999997836 -33.493374999996064),0.43868488073349,1175,10
POINT (18.451624999997833 -33.635374999996046),0.8168344497680664,1772,9
POINT (18.615124999997814 -33.90162499999602),0.1691742241382599,165,3
POINT (18.81012499999779 -34.078374999995994),0.24824245274066925,1304,1
POINT (18.761624999997796 -33.98937499999601),0.6492279767990112,1278,0
POINT (18.666874999997805 -33.49162499999606),0.1818830817937851,1175,0
POINT (18.543874999997822 -33.89587499999602),0.10291077941656113,1119,12
POINT (18.750874999997798 -33.74237499999604),0.16405437886714935,920,0
POINT (18.790124999997794 -33.819874999996024),0.432458758354187,1259,8
POINT (18.80887499999779 -33.61812499999605),0.4948694407939911,2031,14
POINT (18.586124999997818 -33.73387499999603),0.1440829485654831,1124,0
POINT (18.46137499999783 -33.27387499999609),0.2859080135822296,994,7
POINT (18.489124999997827 -33.648624999996045),0.8168344497680664,1118,0
POINT (18.64037499999781 -33.54287499999606),0.1474759727716446,1091,2
POINT (18.849624999997786 -33.80862499999603),0.44193607568740845,949,0
POINT (18.278874999997853 -33.30687499999608),0.13367430865764618,676,0
POINT (18.40887499999784 -34.039374999996),0.19355875253677368,1708,6
POINT (18.46887499999783 -33.79112499999603),0.8083610534667969,1345,6
POINT (18.530874999997824 -33.39112499999607),0.2859080135822296,1044,1
POINT (18.848624999997785 -33.839624999996026),0.4879869818687439,1242,1
POINT (18.781874999997793 -33.74362499999604),0.1971217542886734,867,0
POINT (18.824374999997787 -33.87337499999602),0.4417729079723358,1639,4
POINT (18.79762499999779 -33.641124999996045),0.190826877951622,976,10
POINT (18.623874999997813 -33.95237499999601),0.17242638766765594,1170,8
POINT (18.598624999997813 -33.61162499999605),0.17295539379119873,729,5
POINT (18.80612499999779 -33.64612499999605),0.2000892609357834,1307,5
POINT (18.623124999997813 -33.78837499999603),0.3852400481700897,1207,7
POINT (18.21912499999786 -33.28387499999609),0.837384045124054,1473,2
POINT (18.862374999997783 -34.086624999996),0.6751764416694641,1368,11
POINT (18.748624999997798 -33.86362499999602),0.17291785776615143,895,4
POINT (18.326874999997848 -33.41737499999607),0.1912163943052292,1311,2
POINT (18.79262499999779 -33.493874999996066),0.1351020634174347,1073,5
POINT (18.600124999997814 -33.66987499999605),0.14393332600593567,814,0
POINT (18.591874999997817 -33.86112499999602),0.18453262746334076,1519,6
POINT (18.601874999997815 -33.44662499999607),0.41585010290145874,1488,9
POINT (18.510874999997824 -33.93162499999601),0.13110771775245667,1195,14
POINT (18.365874999997843 -33.332374999996084),0.1728670597076416,1230,6
POINT (18.758124999997797 -33.691624999996044),0.1521361768245697,1027,0
POINT (18.420124999997835 -33.999124999996006),0.694276750087738,2168,24
POINT (18.686124999997805 -33.62862499999605),0.1788424849510193,548,0
POINT (18.566124999997818 -33.51237499999606),0.9915000200271606,778,1
POINT (18.430624999997836 -34.067374999996),0.13701659440994263,2562,10
POINT (18.669374999997807 -33.95087499999601),0.10035369545221329,795,5
POINT (18.663624999997808 -33.67212499999604),0.15482433140277863,1074,6
POINT (18.30687499999785 -33.422624999996074),0.5316317081451416,1138,0
POINT (18.420624999997834 -34.017124999996),0.199403777718544,2601,19
POINT (18.495874999997827 -33.520124999996064),0.48736000061035156,1391,3
POINT (18.458874999997832 -33.79212499999603),0.1803385615348816,605,8
POINT (18.837374999997788 -33.31887499999608),0.12877419590950012,623,10
POINT (18.856124999997785 -33.388624999996075),0.45072245597839355,1413,5
POINT (18.506124999997827 -33.465624999996066),0.12452606856822968,822,0
POINT (18.679874999997804 -33.39487499999608),0.3743205666542053,835,4
POINT (18.839624999997785 -33.36862499999608),0.45072245597839355,1231,5
POINT (18.660624999997808 -33.412624999996076),0.14363346993923187,772,0
POINT (18.80487499999779 -33.85187499999602),0.4417729079723358,607,1
POINT (18.864374999997782 -33.95487499999601),0.4723203480243683,1541,11
POINT (18.27762499999785 -33.255874999996095),0.9915000200271606,1082,3
POINT (18.7203749999978 -33.36812499999608),0.13012263178825378,717,10
POINT (18.81062499999779 -33.545374999996056),0.4480975270271301,1156,3
POINT (18.503624999997825 -33.60987499999605),0.44451624155044556,1083,4
POINT (18.589874999997814 -33.31387499999609),0.12132683396339417,794,0
POINT (18.776624999997793 -33.25912499999609),0.12772561609745026,597,0
POINT (18.7198749999978 -33.459374999996065),0.17789818346500397,488,9
POINT (18.493374999997826 -34.005874999996),0.1911076009273529,301,6
POINT (18.21237499999786 -33.38612499999608),0.8446881175041199,1987,6
POINT (18.79262499999779 -33.99512499999601),0.6492279767990112,1482,6
POINT (18.758874999997797 -34.012874999996),0.6254315376281738,1622,3
POINT (18.692124999997805 -33.78137499999603),0.39221057295799255,1143,3
POINT (18.45412499999783 -33.92887499999601),0.1011509895324707,259,3
POINT (18.82112499999779 -33.373874999996076),0.17466497421264648,1295,10
POINT (18.63762499999781 -33.63587499999605),0.12687954306602478,943,0
POINT (18.688124999997804 -33.734374999996035),0.15814706683158875,903,7
POINT (18.63937499999781 -33.41937499999607),0.17779390513896942,886,0
POINT (18.29262499999785 -33.25212499999609),0.9915000200271606,1142,10
POINT (18.53912499999782 -33.98637499999601),0.09750394523143768,402,9
POINT (18.434124999997834 -34.038374999996),0.1898193508386612,2120,14
POINT (18.592124999997814 -33.845374999996025),0.47768229246139526,1246,0
POINT (18.798874999997793 -34.023124999996),0.6254315376281738,1228,4
POINT (18.540874999997822 -33.505374999996064),0.45392823219299316,842,10
